"","Western_Conference","W","L","W/L_percent","GB","PS/G","PA/G","SRS","Year"
"275","Memphis Grizzlies*","55","27",".671","1.0","98.3","95.1","3.62",2015
"276","San Antonio Spurs*","55","27",".671","1.0","103.2","97.0","6.34",2015
"277","Dallas Mavericks*","50","32",".610","6.0","105.2","102.3","3.36",2015
"278","New Orleans Pelicans*","45","37",".549","11.0","99.4","98.6","1.13",2015
"279","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division",2016
"280","Oklahoma City Thunder*","55","27",".671","—","110.2","102.9","7.09",2016
"281","Portland Trail Blazers*","44","38",".537","11.0","105.1","104.3","0.98",2016
"282","Utah Jazz","40","42",".488","15.0","97.7","95.9","1.84",2016
"283","Denver Nuggets","33","49",".402","22.0","101.9","105.0","-2.81",2016
"284","Minnesota Timberwolves","29","53",".354","26.0","102.4","106.0","-3.38",2016
"285","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division",2016
"286","Golden State Warriors*","73","9",".890","—","114.9","104.1","10.38",2016
"287","Los Angeles Clippers*","53","29",".646","20.0","104.5","100.2","4.13",2016
"288","Sacramento Kings","33","49",".402","40.0","106.6","109.1","-2.32",2016
"289","Phoenix Suns","23","59",".280","50.0","100.9","107.5","-6.32",2016
"290","Los Angeles Lakers","17","65",".207","56.0","97.3","106.9","-8.92",2016
"291","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division",2016
"292","San Antonio Spurs*","67","15",".817","—","103.5","92.9","10.28",2016
"293","Dallas Mavericks*","42","40",".512","25.0","102.3","102.6","-0.02",2016
"294","Memphis Grizzlies*","42","40",".512","25.0","99.1","101.3","-2.14",2016
"295","Houston Rockets*","41","41",".500","26.0","106.5","106.4","0.34",2016
"296","New Orleans Pelicans","30","52",".366","37.0","102.7","106.5","-3.56",2016
"297","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division",2017
"298","Utah Jazz*","51","31",".622","—","100.7","96.8","4.00",2017
"299","Oklahoma City Thunder*","47","35",".573","4.0","106.6","105.8","1.14",2017
"300","Portland Trail Blazers*","41","41",".500","10.0","107.9","108.5","-0.23",2017
"301","Denver Nuggets","40","42",".488","11.0","111.7","111.2","0.70",2017
"302","Minnesota Timberwolves","31","51",".378","20.0","105.6","106.7","-0.64",2017
"303","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division",2017
"304","Golden State Warriors*","67","15",".817","—","115.9","104.3","11.35",2017
"305","Los Angeles Clippers*","51","31",".622","16.0","108.7","104.4","4.42",2017
"306","Sacramento Kings","32","50",".390","35.0","102.8","106.7","-3.29",2017
"307","Los Angeles Lakers","26","56",".317","41.0","104.6","111.5","-6.29",2017
"308","Phoenix Suns","24","58",".293","43.0","107.7","113.3","-5.14",2017
"309","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division",2017
"310","San Antonio Spurs*","61","21",".744","—","105.3","98.1","7.13",2017
"311","Houston Rockets*","55","27",".671","6.0","115.3","109.6","5.84",2017
"312","Memphis Grizzlies*","43","39",".524","18.0","100.5","100.0","0.96",2017
"313","New Orleans Pelicans","34","48",".415","27.0","104.3","106.4","-1.69",2017
"314","Dallas Mavericks","33","49",".402","28.0","97.9","100.8","-2.53",2017
"315","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division",2018
"316","Portland Trail Blazers*","49","33",".598","—","105.6","103.0","2.60",2018
"317","Oklahoma City Thunder*","48","34",".585","1.0","107.9","104.4","3.42",2018
"318","Utah Jazz*","48","34",".585","1.0","104.1","99.8","4.47",2018
